海南,"有过抑郁情绪的人太能理解这片了，神作。
当然参宿如果也死了就更现实更神作了。"
江苏,洗衣服脏水乱倒映出五彩斑斓但又油腻的视觉泡沫。
北京,深海大饭店的画面让人生理不适，巨物、粘液、聒噪，预告片里却完全没有涉及这一部分，这不纯纯诈骗吗？
北京,画的好看，但不高级，故事也潦草拉垮。中国人除了吃饭和找妈真的没别的事儿吗？
浙江,影片的“人设”和“价值观”没有问题。影片真正想讲的是：一个不被世界在乎的弱小个体，如何与这个世界和解，并带着伤痛活下去。别说什么“抑郁症根本不是这样的”，这是电影，不是精神病学教材。何况：一个九岁孩子被母亲抛弃——平心而论，设身处地的想一下，自杀的理由“不够”么？
黑龙江,最近看到个说法，就是人类对刺激的阈值是越来越高的，但我还是觉得总有那么一撮儿人不知道哪儿来的自信用自以为高的阈值来评价剧本，《深海》的情感并不廉价，剧本写得也很高级，如果非要拿一套所谓的标准来评价，哪怕以罗伯特麦基为代表的那套好莱坞标准，《深海》的故事也不差；比起迪士尼很多剧本，《深海》出色脱俗得多，如果国内观众对这样一部电影还没什么接受度，觉得不似网文在类型里深耕，那我觉得问题不在《深海》，也就不必给这样的作品评价，希望我们也可以有这类电影可以生存的土壤，文艺作品应该、也需要这样搞
辽宁,"神作 我不懂为啥那么多人会喷这是部烂片
😭深海绝绝子 画面太美了 
是一部有门槛的影片 虽然前面较平淡但一定要全神贯注不能放过每一个镜头每一句台词 最后的结尾就会大彻大悟

"
湖北,看到最后30分钟听到旁边男生对同伴说“也不知道是电影有问题还是我有问题……”。很想接一句：“你没有问题”。
四川,"太恶心了这电影，几乎是我看过最烂的之一了，烂出天际，无聊还吵闹。。。最后还强行煽情就更恶心了不知道吃了几斤疙瘩汤能拍出这玩意儿"
辽宁,可以分开打分就好了，三分给动画技术本身，零分给到编剧和台词
广东,"一个人长得好看，会引人多看两眼。但深入了解后发现他无聊、丧气、任性、不合常理，好看也只是一戳就破的泡沫罢了。这部电影就是这样一个泡沫。绝美的美术搭配让人皱眉的人物行为和故事——相信导演也知道他的电影会让人昏睡，片尾打出了“醒醒吧，结束了”。不明白什么样的大力士小孩能徒手打开长满珊瑚海星的船舱顶盖（导演直接无视物理学，就是不愿放下对空洞美的执念）。也体会不到一个用iPhone的小孩到底能有多悲伤（我打了几年工才舍得买）。所有的父母都被描绘成肥肠油腻，正常身型都是正面角色。这种刻板印象出现在一部动画里简直是亵渎这门艺术。动画应是比真人作品对世界期待更高、审美和意识更开放，平视现实的艺术。动画有天然的优势去重构真实世界，解放观众的固化思维，而不是把现实的刻板印象程度加重，去歌颂苍白无力的美。"
江苏,2023年了，还在拍小女孩等待大叔拯救，随便一个故事就能治愈抑郁症……
北京,3.5 都不知道该谁背锅了，前面一个半小时视觉如此过剩，毫无主次轻重可言，动不动就打碎调色盘，一点气口不给留，完全就是在堆技术，最后真的疲惫到没啥力气了，又是这样重要的转折配上这么寡淡的视觉。头重脚轻摔了个大跟头，还得让观众坚持着跟您共情。观感可能因人而异吧，但有一点：我们所谓的“工业”到现在为止还是处在比较初级的“堆”人头阶段，跟其他工业一样都是劳动密集型，至于真正的创意部门其实远远没法提供完整性和原创性，更不知道该表达什么，甚或像某片一样直接走火入魔。这样的巨大失衡，真的离成熟形态还比较远。
河南,"本来还感觉惊喜，但参宿苏醒之后就落入俗套，如果电影停在参宿即将抓住南河的手就好了。
影片最后还用画面展示了参宿后来还算幸福的生活，可是我心里清楚，这个b生活根本不会有太大变化，爸爸、亲妈和后妈还是会对参宿漠不关心，参宿还是得不到她一直追寻的，来自妈妈的爱。
全片最惨——南河。"
广东,我愿称之为春节档最佳
陕西,大半夜哭成傻逼了，幸亏没在电影院看，要不吓着别人，完全是嚎啕大哭。有些电影就是这样，它会让你忘了那些评分标准，忍不住给满星。
湖南,全片给人一种说教式的“救赎”：跳了个海做了场梦，然后就走出抑郁症了，你看这不是很容易吗？
浙江,电影快结束的时候，坐着电影院的位置上，突然冒出一个念头，人生中能看到这样的电影，真是幸运啊
广西,从观众的角度来看，真的对荧幕上唯唯诺诺一言不发的女性形象有点疲惫了，真的就想看点爽的，直接掀桌的那种，哪怕所谓大女主也好，现实已经够隐忍了，疲于在一部动画里还要受气。后来又看到是以抑郁症为主题，更加心烦，拜托，没有天使会来拯救任何人，不是说笑一笑心情就会好的，不是说看到所谓的光明就是好的，本身人也能看到黑暗和光明，只是当黑暗来袭的时候什么光明感觉都变得无所谓了。其次从创作者的角度来看，不能因为讲述的是一个梦境的故事就这么胡说八道，剧情逻辑太混乱，所有所谓的伏笔到最后也不过仅仅是勉强的自圆其说，不过这一切的稀碎剧情终究比不过糟糕的人物行为逻辑烂，求求创作者能够想想人物的情绪动机吧，两个主角到底是从何而来的这么大的羁绊，你真的敢相信吗？最后，画面确实值得夸赞，但这造成了这个故事有如此大的割裂感
北京,没法共情，觉得有种对抑郁症的浅薄消费，特效好画面美是优点
吉林,一锅浓墨重彩花里胡哨实则是用廉价工业添加剂勾兑出来的黏糊糊的边角料大杂烩，还内含一坨主创自我感动甩下的鼻涕。主创或许是看着宫崎骏动画长大的，抄得手忙脚乱，但愣是没学会把小孩子尤其女孩子当成断了奶的独立个体，结果最后做出来的这锅东西唯一能映射出来的只有这群中年人自恋的油腻倒影。
福建,【C－】一声叹息。前四分之三基本全程挑战我的承受下限，其中所包含的具象克苏鲁元素恰恰是最不克苏鲁的部分，那些夸张、油腻且毫无节制的角色表演才是最不可名状的怪物（轻易超越《无名》），分镜、帧率和速率所共同组成的运动体系同样是致命的精神污染，在模仿真人影像的瑕疵中不断制造晦气的视觉垃圾，并吞噬自己仅剩的美术噱头。后四分之一的揭底基本拯救了全片（忽视前半段甚至可以给到四星），但矛盾点也无法忽视：这种好是通过反衬得来的，也可以通过解读将烂执行给轻易消解，但置于主题之上的“忧郁症”却是如此轻浮，再踏错一步就与「消费」无异。用腐烂的方法讲述正确的故事，观感也只剩矛盾与无奈，不禁令我怀念《雄狮少年》，至少它是扎实的、清晰的，甚至是克制的。
北京,都花那么多时间了，就不能再好好磨一磨剧本吗，前三分之二都让人冷漠脸。
甘肃,片子很好看，特效非常炫技，但是又败在了剧情上。拯救抑郁症的不是以命换命也不是以后要开心一点，而是科学的干预治疗，拍了这么多还是没有正视这个疾病。
广东,6.5/10。唯有叹息，如此强悍的技术力，同时具有完爆同题材作品的高概念设计，最后却只能呈现出如此糟糕的完成度。观影体验是痛苦的：一种毫无节制的视觉污染。而与失败的美学风格实验对应的却是单薄至极的剧情设计，第二幕那种夸张油腻的人物演出更是对主题的严重伤害。通篇也没有任何的留白空间，尤其是精神世界的符号对位，以至于最终前置于情感高潮的最大奇观，难以获得真正震撼人心的力量。至此最后一幕再怎么力挽狂澜也难扶大厦之将倾。
云南,"这部片没有典型反派以及清晰人物动机，可能很多人会觉得没逻辑，个人认为这片核心其实就是情绪。海精灵是对妈妈的执念，丧气鬼是自己的负面情绪，南河既是小丑南河也是参宿的自救意识，一整段的非现实和现实一一对应。
最后感动的是参宿放弃了在病床上听到的妈妈的声音，而转头奔向陌生人的真实善意，并接受了南河离去的事实，并不是南河拯救了参宿，而是她自己救了自己。
全片并没有讲太多的大道理，有在好好表达关怀身边人的情绪问题，尤其实在孩子成长阶段，情绪需求需要被看见被回应被安抚，希望趁过年能让一些看了的家长好好做父母。
最后，深海和大圣、吉卜力在叙事方式、凸现主题等本来就不是同类作品，不懂有些评价强行对比的意义。
"
北京,"《深海》又名《千与千寻》+《少年派的奇幻漂流》（潦草版）
前三分之二瑰丽、绚烂、空洞、美轮美奂，开场如炫彩夺目波澜壮阔的时空漩涡，把人吸入其中，来一场奇幻诡谲的深海冒险。
但人是会审美疲劳的，前期铺垫太久到八十分钟了还在炫技毫无节制，多少让人有些失望。当把你所有耐心都消磨殆尽时，后三分之一开始快速反转极致煽情，所有的一切急风骤雨般砸向你，参奏的痛苦、抑郁，直至放弃生命，南河的伟大、美好、救赎牺牲。你会为它感动落泪，但不是因影片的传达而共情，而是“我都煽成这样了，你还不给我哭！”
一直期待参宿会跟妈妈有个对话，结果什么都没有，还是一贯套路化的玩世不恭的英雄主义，看完只剩浅薄的感动，走出影院，风一吹就散了。"
辽宁,骗人的，世界上根本没有南河也没有深海大饭店。
黑龙江,这个b电影看的气死我了，预告片小海獭挺可爱的，结果进去了深海世界是加了大量克苏鲁元素的低配千与千寻。那个一坨密密麻麻头发丝里张一堆眼睛都海精灵是干嘛的？看着我就难受。深海饭店部分一点剧情没有，那个南河跟厨子有啥关系吧，客人一个个跟溜大了一样，完全不知道要表达个啥。加上光污染在影院真是折磨死我了。立意算是少见的关注一下重组家庭的孩子，但是你这是库库消费人家孩子和抑郁症啊，不解决女孩的困境问题，非要牺牲一个人去救赎一下子是吧？那能救赎的了吗？孩子自己跳的船，她不愧疚？死里逃生了她妈不还是不见她吗？孩子心结解开了吗？能不能关注一下重点？真恶心，看的我生气，气死我了。总结就是包装精美的依托答辩。特效确实挺好的，能不能用到正地方啊，讲一讲正常的故事吧。捏麻麻地，气死我了。
广东,"我能理解一些人认为小题大做无病呻吟，就像女孩的父亲；我能理解一些人能够共情感动，就像生活中受到过挫折、潜意识里总在自卑的大部分观众；我也能理解一些人备受伤害和煎熬，就像无数个真实生活里长期被原生家庭伤害的参宿，就像评论里认为受到冒犯的被迫受抑郁症等影响的观众。影片出现了多次的断层，但情绪渲染却火力全开，反复拉扯的主题让大家都只看到自己最注意的那一部分，无论的伤害还是治愈。
但必须说明：真实环境下的参宿需要相当大的心，才能将跳海救自己的南河的死转化为疗愈自己的动力。而电影因其特殊性，引导普通观众情绪和视角，让大家都普遍忽视了这一点。对于绝大部分的心理障碍患者来说，你无法用一个创伤去治愈另一个创伤。如果有，那叫洗脑。"
上海,没有思考的影片是爆米花电影，通篇都是思考却又思考得很浅薄的电影则令人惋惜。虽然部分画面炫丽得令人晃眼，但其画作技术与细腻程度几乎比肩国际水准，这点不可否认。田晓鹏在动画技术上专研琢磨，其用心可见一斑。只是这煞有介事的剧作不得不令人感到遗憾。本片的设定与宫崎骏的多部作品有着相似之处，但看宫崎骏的作品比如《千与千寻》，除了连贯的剧情，他亦有注入哲思，只是他的思考放在某个具体意象身上——无脸男。再看《幽灵公主》同样有着深刻的蕴意与道理、教育与呼吁。但却并不是通过口头一遍又一遍地申诉，而是寄托于意象——山神。抑郁症、原生家庭、儿童失爱……老生常谈的这么几个话题实在无需费全片篇幅去赘述，醉心于自我感动，忽略对人物的塑造。全片几乎全是性格单一的脸谱角色，动机与转变毫无铺垫。道理不要光靠喊，而应凝练透彻。
广东,完全没有感情投入！就像开着电脑看了两小时动态壁纸。
上海,确实不是一部放春节档的片子，因为内核是给成人看的救赎故事，不适合带娃看。不过确实相较于绚烂的画面，故事本身更令人触动，每个躲在自己保护壳下懂事无助的自己都希望有一个英雄站在身前施展魔法，愿每个走过长夜的人终将等到一束光。
江苏,哄小孩的玩意，適合8歲以下兒童。配音硬傷，賣慘可恥，畫面精美但劇情毫無感染力。成年人大過年看這個過於晦氣。
美国,导演可能是色弱吧…这不是五彩斑斓的美梦，这是光敏性癫痫人群的噩梦，我能想象会有很多人在电影院里只想闭上眼睛享受黑暗，
北京,以为是原生家庭的故事 结果是好人好事
北京,田晓鹏到底是什么大艺术家啊！这满屏幕的不合时宜的才华！
浙江,要不国产动画还是完蛋吧
湖北,😥诈骗啊，这段时间看了太多诈骗电影了，深海，谢谢你，诈骗犯。
北京,故事真的不是这么讲的。一个半小时的绚丽画面没有任何实质性的行动，最后半个小时的反转只是强作解释，真的看得没有任何波澜。
北京,说真的如果我害死一个陌生人可能抑郁会加重…  真心希望剧本不要这么想做抓马而是更加细致的描绘心灵的碰撞和一步步开放。而这样需要更多的笔触放在现实世界而不是梦境，所以剧本在合理性上感觉是失衡的。
安徽,【4】真诚是很可贵的，即便调动的一切并不超出预期，而有了技术力的加持，才真正成为一场盛宴。恍惚间甚至找到了当初看EVA时的震颤，在不同时代、不同语境下碇真嗣的出现，见证我们一戳就破的甜蜜。
重庆,不要再卷画面了，把剧情讲好吧，谁看电影是为了看美术啊？看电影的时候感觉我和我妹妹有代沟……
江西,又尬又低级  感觉评分都刷出来的
福建,感谢导演给晦暗的心织就这幅绮丽的美梦。有人说如果一部电影只有抑郁症患者可以共情，那不是失败的嘛？有没有一种可能，是我们被忽略得太久了，第一次被这样毫无保留地拽到阳光下感受别人习以为常的温暖。喜欢的电影可以有很多很多，但想要对导演说一声谢谢的，就是《深海》。谢谢你，看见我，洞穿我，代替我沙哑的嗓音引吭高歌。深海之中或许有惊涛骇浪，但太阳照进来也可以五彩斑斓。
上海,这画面风格和动画质量完全配得上讲一个更好的故事……
广东,难看得想跳海。剧情就是一坨浆糊，再添上一些自作聪明、有头无尾的感动片段，我完全不懂影片想表达什么。画面也许是精美，可真正有美感的片段不过片头以及片中丧气鬼爆发这两段，其他的都太满了，以至一片混沌；毫无克制的猎奇大特写毫无幽默感；造型以及场景设计完全是为了创意（一定要制造出点什么）而创意。观影全程在犯困、迷惑以及愤怒这三种状态当中切换。
甘肃,整个人哭成傻子。你一定想不到抑郁症患者的世界色彩太炫烂了。我们不要害怕。 心目中国产动画第一。
北京,在昨晚如坐针毡的看了三个小时的缝合怪之后，大早起没什么情绪的去电影博物馆看了深海，没想到电影结束走出影院还没办法醒过来，泪流不已。愿称这样的电影为中国电影工业的飞跃和骄傲。迷幻绮丽的视听艺术，中国风的水墨美学和技术突破，真正无国界的人文情感内核，故事和技术相得益彰，透过这部电影能看到导演和幕后团队柔软诚挚的真心。有时候我们是参宿，有时候我们也是南河。对我来说，南河是大圣，是田晓鹏，是周星驰，是治愈过我们的漫画和电影，是保卫我们精神家园的文学，是拯救过我们、在溺水时拉过我们一把的人和事。很幸运，我也拥有自己的南河。因为有ta，我的笑是真心的。祝贺中国动画有这样金子般的心的人才。希望这部不是特别适合春节档上映的电影能慢慢走出长尾，希望在国际市场上也能走的更广更远。
广东,前段时间确诊了重度抑郁，看这部电影前有些犹豫，但表妹想看，还是陪着看了。情节确实比较单薄，但是对于那种被“丧气鬼”追逐、缠绕乃至包裹的整个过程，画面和配乐的感染力太强了，太深有体会了，以至于在电影后期泪流不止，打湿了口罩。看完表妹问我“南河是不在了吗？这是个bad ending吗？”我说“不是所有故事都有happy ending”。希望自己能够早一点走出来，找回从前的自己。
广东,你们欠郭敬明PPT电影一个道歉
安徽,哭到口罩湿透。什么视效、剧情、抑郁症都不说了，就冲这个片子敢在大年初一上映，给五星。
辽宁,"观感：
1.华丽的刑具，在电影院里的俩小时仿佛在上刑。
2.从来不解决根本问题而是幻想着主角被陌生人“拯救”就能重获新生，编剧写剧本的能力永远比不上自我感动的能力，nb。
3.再也不想为国产电影花钱了。"
四川,简单的把抑郁症定义为灰色，向往生活中的彩色，彩色还是需要被人救赎才能获得，这是对抑郁症的侮辱，求求不要再输出这种肤浅价值观了。大过年恶心人真有你们的，本来视觉污染审美灾难已经让我很不适，没想到最后托底的能是她家人又对她好起来了，爬爬爬，垃圾，消费抑郁还要恶心抑郁，能存做个人！
安徽,让我想起来学生时期有段时间执着于论文字数顶格写，答题卡必须填满，PPT要做极精致漂亮诸如此类表面功夫的时候，至少不会被给差评，但言之无物食之无味，偶尔被评价为“努力”，离“聪明”尚且很远。
陕西,深海的情绪密度好浓。看电影前买了副3d眼镜，看完送给了检票员，拜托他赠人，他一脸诧异的盯着我。陌生人救了小女孩，为她编了一个童话。我从头哭到尾，不知道为什么我旁边的几个年轻人从头笑到尾，可能我也…我觉得这部电影，就像《四海》，去年《四海》我给了五星，我没把它当电影看，就像是《四海》藏在贺岁档，我笃定选了这部，以至于app提醒，这是您今年看的第一部电影，丧。还好，如我笃信的，丧即真实。可有的人沉溺其中，很痛苦，我是另外有的人，我靠写作。导演那句，散场啦，醒醒吧，让人绷不住。你看得出，这导演在这电影里藏了很多关于绘画，电影，想象的情怀。小女孩挣死往那个梦的世界里钻，我也想去……这么一部脑海中的作品展现于大荧幕，导演一定幸福，我感受的来，比《刺杀小说家》幸福多了啊。最后，敬想象，敬活着，也敬现实。
河南,已经准备好在电影院爆哭一顿的我…前面两个小时完全不信，所以后面用音乐音效节奏金句强行煽情的时候，只会觉得更加尴尬。剧情里看到了熟悉的影子，哈尔的移动城堡，千与千寻，少年派，毒液…画面那么漂亮，那么多人费了那么大劲，就讲了个这？最后，全体角色黏糊糊真的很不舒适…
广东,千言万语涌上心头，谢谢你愿意在东亚人追逐的集体主义和宏大叙事之下拥抱我们被禁锢的个体心中的幻梦世界🦋
黑龙江,好几年没去看院线的动画电影后，再去看本片后真是震惊于国内的动画水平已经高到这个水平了?除了画面外，我觉得这部片子最难得的是适合全年龄的观众去看，对于小朋友来说，这可能是个高配版的小蝌蚪找妈妈。可是对于成年人来说，片中出现的抑郁症、原生家庭和与世界和解的探讨，也是相当戳人的。其实没有想到田晓鹏会在《大圣归来》之后做了这样一部动画，意外也惊喜，他可以做观众想看的，但却做了属于自己的。
广东,客观4星，感情分5星，这份画面质感就值得二刷，跟同是拍海洋的阿凡达2比都完全不输，还在天马行空的幻想维度上更胜一筹，故事的人文关怀也甩开阿凡达的爹味价值观一大截。缺点仍然在叙事上，桥段重复+视觉轰炸让人有点疲劳，情感的转变也不够流畅合理，堆积到最后才用反转放大招…国产动画的美术和技术水平已经无需证明，真的希望接下来转变为画面服务剧本而不是剧本服务画面。
安徽,感受到了影片的勇气和诚意。技术和画面确实无可指摘，美轮美奂，故事最后的落脚点也确实打动了我，看的眼眶湿润了。但最触动我的，反而是全片结束的“快醒醒散场了”六个字，就好像刚刚看片的过程也是做了一个梦，一个有点美好，也有些残酷的梦。在这个梦里，大海是五彩斑斓的，小动物是可爱的，丧气鬼是可以被打跑的，即便是面对跨不过去的坎儿，也还是会被拯救的，是可以重新开始的。但这六个字的出现提醒了你，梦醒了，回到现实里，我们谁又不是参宿呢，只不过我们遇不到属于自己的那个南河罢了。而南河，又何尝不是另一个戴着小丑面具的参宿呢？
河北,大年初一首场，真实观影感受：前30min：半小时了还没啥剧情推进；1h：各种炫技，花里胡哨，故事能不能好好讲？1h30min：坚持！马上就完了！最后半小时：BGM太煽情了遭不住遭不住……片尾曲：边哭边回忆剧情，明明可以拍得更好……画面特效音乐都超棒，剧本故事也挺好，但是前半段的观影体验真心不好，可能是年纪大了，不太喜欢单纯炫技的电影（深海传说是导演自己写的……）所以导致很长时间都没有进入剧情，最后的煽情就显得太突兀了……总之，四星还是值得的。
四川,和朋友一致认为很难看。。。如坐针毡。。15块钱以上没必要专门来电影院看。画面和技术是五星的，但是故事真的没有任何逻辑拼拼凑凑。。没有线索没有高潮，看到最后只想知道什么时候才能结束😅回去想再看两遍小妖怪的夏天。。动画导演们请先想出好的故事吧
上海,前半部分看得真心累，画面色彩绚烂、要素过多，整个场景里的人物都在频繁动作，找不到重点，说实话观感并不好。但最后半小时的剧情确有扳回一城的感觉，总之看得挺感动的。
新加坡,故事讲得很乱，感觉为赋新词强说愁，人设显得很架空，梦境和现实的呼应提醒观众做连连看，最后一顿嘴炮输出强行HE，参宿的困境是靠自己想开点能解决的吗？南河为何需要小丑装扮? 南河过去经历了什么，能让他受伤了还跳海救人？看到结尾也没答案。。就感到尴尬，整个一故事为画面服务。
广东,在长夜独行，久了就把隐藏当作本能，把欢笑视为任务，把孤寂看成领赏，把自我压缩到最微末，但想见的人不来，相伴的人不在，难得田晓鹏借这个簇拥的档期，试图把光渗透到早该正视的抑郁症上，又或者，让更多的你我在难免的灰色里，剥出一些光亮来。粒子水墨的绝美，在于有了泼墨的旖旎与潇洒后，能在倒转色彩后虚妄地倒转知觉，因此看到了深海无穷尽的斑斓，饭店众人比海还宽的胸襟，那大梦一场，就是人生一段。到头来，会在色彩与黑白之间，光与暗之间，记住笑与故乡，记住浪般的草与雪，记住温度与抚慰。其实啊，结局也像梦，但没有什么需要害怕了。
河南,"看的是晚场，再加上前一个小时剧情有点无聊，炫目的画面太多以及过于聒噪，使得我昏昏欲睡。后半个小时让前一个小时荒诞的剧情变得合理。
最后没想通的是，参宿是个患了抑郁症的小女孩，她摆脱抑郁症的方式是陌生人的鼓励和自己的努力，可是现实里家庭的问题没有解决，妈妈不在的问题也没有解决，救赎自己的南河也没了，这样抑郁症真的能消失吗？不是很理解这一点。"
北京,有生之年竟能有幸见识到这么垃圾的电影。
广东,我真的受不了多动症一样的男主，他甚至不能站着好好说完一句话。另外剧情太多设定断裂了，整个故事是为了串联一个个“梗”一句句似乎很有道理，但其实是个人都能说的“金句”而存在的…虽然题材、视效加分，但真的也就只剩题材和视效了…故事前10分钟渐入佳境，入海之后一塌糊涂…简直就是碗杂烩！
四川,这部电影揭示们文艺创作的现状：技术性的东西搞得虎虎生风，一个没有因果的人却写实，所以上不了台面。请在成人世界的闭环里继续反刍你们的大便！你们这群沽名钓誉的大人没资格搞动画片。
浙江,"很矛盾。画面时而很美，满屏都写着美术联考色彩满分，人物和生物又时而丑得让我生理不适…有cult的画面没有cult的灵魂
剧情wise，都啥年代了一上来就是沉香救母式的找妈妈执着，没有任何铺垫和情感代入，并且结局简单粗暴的问题解决方式冒犯到了所有有过抑郁症经历的人😅
总的来说这片子的观影感受特别像我当年看美院毕业展，画面看起来很厉害，实际上完全不知道在搞啥"
河南,这是从立意到呈现都不输给好莱坞的中国动画，硬要说有点缺陷，就是不太适合春节档吧
北京,从编剧的角度来说，这个剧本无疑是春节档最好的剧本，比同期的流浪地球2和满江红都要好。没有流浪地球里面的科学bug，也不是那么宏大遥远的格局，而是贴近生活的讲述了一个 我们每个人都或曾会有过的抑郁的故事。我们这辈子不会面对太阳氦闪 但一定会有低谷和抑郁的时期。当然也没有满江红里那种逻辑bug，片中所有的暗示明示都非常工整，极具象征意义。也是一部非常适合二刷的电影。电影技术制作和粒子特效方面这个就更不用说了，目前是中国第一，世界领先的水平。无论从视觉享受还是故事内核来讲都是一部非常开眼和疗愈佳作，也希望大家多多支持
江苏,电影结束的时候，前排小朋友问他妈妈，这部电影多长时间呀，妈妈说两个小时。小朋友又问：“妈妈，为什么我玩游戏的时候没觉得两个小时这么长呀……”
安徽,又一次被骗了 R!N!M!退钱！！！（给你们中国动画宽容，谁tm退我票钱！）
上海,剧情真的很弱 给出的解决方案就是“这不是你的错”。。不够 真的不够
湖南,煽得你都担心不流两滴眼泪会给人指着鼻子骂冷血…
浙江,成年人要做自己的南河
安徽,剧情和台词薄了，视觉特别厚。
江苏,"这部电影如果不走进电影院，你无法感受它特效的旎旖，但是走进电影院，剧情又离谱的一脸懵逼。除了特效一无是处，但是国漫已经不再缺特效，也不需要打高分鼓励了，没有剧情驱动的特效，就像没有演技的花瓶，徒有其表。前面60分钟都在故弄玄虚，后面30分钟又怕你看不懂似的恨不得把剧本嚼碎了喂给你。而且我真的没懂“深海大饭店”和“找妈妈”，“抑郁症”的关联在哪？南河作为“拯救者”不论是人设、动机还是和女孩的羁绊都没有刻画，一切都是突然的。而且所谓的“一束光”的形象不仅不是阳光温暖的，甚至带着一丝诡异一丝丑陋。有人会说你没有抑郁症所以你不懂，但想呼吁更多人关注抑郁症患者，却又不让观众看懂，这样的宣传片意义何在？而《困在时间里的父亲》聚焦阿兹海默症人群，却让我能身同感受，不得不说还是《深海》编剧文笔功力太差。"
广东,我喜欢这部电影，喜欢这样的结局，喜欢那句“心结要是解不开，就像噩梦一样缠着你”。电影结尾小妹妹的处境一点都没变化，父母的忽视不会改变，父母的想法也不会改变，只是自己不在期待于获得父母的爱意，不再是用自己的梦去幻想这个世界，而是用自己的眼睛和心去看这个世界。原生家庭的问题就是需要自己和自己和解。南河的善良打开了一部分心结，又会成为一个心结，不过这次是主动的，意义不同，也许活着即是如此吧。
四川,好多年不看春晚小品，没想到在电影院看到了。
广东,3.7不想给到4，真的不差但很烦，新但有点俗，梦幻但烂泥。我的建议是全都挂掉。
天津,现在7.4蛮符合的  多一星是为了平衡上面评论里那句：廉价的情感 。你指望一个把对被爱期盼称作廉价的人有什么观感
安徽,开创华语精神病动画电影先河。难道好的动画不应该是有一个非常好的剧本，但是实地拍不出来，所以才要拍动画。现在倒过来了，为了拍动画随便弄弄剧本就硬拍。你们这个概念上就完全错了。
四川,原创的剧本，画面剧情能做到这个高度，四周看看，还有哪一部？视觉效果，简直达到了一个新高度，放在国际上来说也不为过。参宿，每一天每一天，时时刻刻都会想起南海吧。
广东,"这部片，可以安静一分钟吗？

不听老人劝，吃亏在眼前，网友都说了技术登峰造极故事稀烂，不信邪还赶着下线来看imax，结果完犊子了。如芒在背，如鲠在喉，如坐针毡，豆瓣为啥没有负分，各种不适！男主角无时无刻不在乱扭，抖动，女主进了饭店就被动推来踩去，不是几秒，是好几分钟！其他角色都是怎么恶心怎么长，技术不是用来恶心我的！看的不适到窒息，导演对活泼这个词是不是有啥误解，对从主角到配角是不是都给设计了啥大病。抄袭抄成核突版宫崎骏，整部片完全无底蕴"
北京,从《魁拔》到《大鱼》到《深海》，今天的动画真的不缺美和绚烂，但尚缺一颗踏踏实实讲故事的心。
浙江,自诩“看得懂”的人是有多喜欢做阅读理解啊🙄️
上海,本质是个二胎心理创伤片，居然能过审不容易；但我很怀疑这样的手法，是否真的能帮助大众正视抑郁症。前半段千与千寻，后半段EVA破，但中间的部分太乏味，头一个小时人物关系几乎没有推进。预告片中比较惊艳的油彩渲染，反而因为滥用而有点审美疲劳。结尾更是强行HE，父母难道不会觉得这样的小孩更麻烦？总感觉短暂的照看之后是更彻底的抛开。而小丑的死太过沉重，女主真的会因此振作吗？为什么贫贱夫妻百事哀而离婚的父母，父亲还能二婚，并且有钱到可以邮轮出行？我 不 理 解
天津,看不懂它的人可能比较幸运吧。它更像是儿童抑郁症版《少年派的奇幻漂流》，是参宿在溺水濒死状态下根据现实碎片产生的幻觉，其中的迷影元素也很有意思。绚丽诡艳的色彩和触手、黏液(更像某种黏菌)的运用在当今的国漫里算很大胆了
甘肃,"还有一些瑕疵 但我好喜欢
“濒死的梦境”这个设定真的很刀我"
江苏,美丽又空洞，即便是面对这样让人心痛的内核也无法动情。
河北,本来不想一星的，两星也行，看到说打一星的没有共情能力，看不懂深海，都不是人，那我就打一星了，什么垃圾剧情，真的烂死了，老掉牙的套路
福建,"  私自私心把它封为看过最好的国产动画电影、最好的3D电影、前三的国产电影、中国动画电影的希望、中国电影的希望。就是上一秒还觉得中国电影马上就要完了，看完感觉中国动画电影走向全球，不去戛纳拿个奖都说不过去。
  剧情受众有门槛（不是认知水平导致的）和个人经历应该会有很大关系，所以爱的很爱讨厌的很讨厌。争议主要出在剧情上，就这个片子不是走故事写实打动人的，是写意的，或者说它的剧情结构也没有很巧妙，就是传统的剧作结构，但是它剧情的表达非常到位，也不跑题，把主题讲的很好了。然后+它选择的这种动画表现形式，这次真的没有炫技，技术渲染下表达更生动了。片子情绪很到位，而且表现的点都很对，对我这种有过同类经历的观众，那是直戳心窝窝。
  最后，要看一定去电影院，这是一部绝对值回票价的电影。"
浙江,"热热闹闹的幻象下，是无比悲伤的内核。

现实越灰暗，梦境越绚烂。"
辽宁,毫无节制。视觉和听觉灾难。
上海,在影院里哭到不能自抑……求求了，孩子们对于世界和自我的看法，皆来自于上一代的孩子，我们不能改变世界，但是却能选择不要变坏，选择负责，选择守护，如果带她/他来到这个世界上，请好好爱！（五星私心）
北京,1、除了画面一无所有，然而画面还用力过猛，仿佛为了播出这个画面，硬套了个故事进去。第一次感受到原来画面可以让人觉得很吵。2、抑郁症并不是精神病幻想症谢谢。
广东,看了一个半钟弹幕还在说“继续坚持吧”、“正片即将开始”、“没有耐心看什么电影”，装你妈的大头鬼啊！
