search URL:,https://patents.google.com/?q=%28%E6%90%9C%E7%B4%A2%29&assignee=%E7%99%BE%E5%BA%A6%E5%9C%A8%E7%BA%BF%E7%BD%91%E7%BB%9C%E6%8A%80%E6%9C%AF%EF%BC%88%E5%8C%97%E4%BA%AC%EF%BC%89%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&oq=%E6%90%9C%E7%B4%A2
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-105095406-A,一种基于用户特征的语音搜索方法及装置 ,百度在线网络技术（北京）有限公司,李祎嵩,2015-07-09,2015-07-09,2015-11-25,,https://patents.google.com/patent/CN105095406A/zh,
CN-103995870-A,交互式搜索方法和装置 ,百度在线网络技术（北京）有限公司,"赵世奇, 万伟, 李婷婷, 孙连生, 周湘阳",2014-05-21,2014-05-21,2014-08-20,,https://patents.google.com/patent/CN103995870A/zh,
CN-107526826-B,语音搜索处理方法、装置及服务器 ,百度在线网络技术（北京）有限公司,"杜念冬, 马赛, 谢延",2017-08-31,2017-08-31,2021-09-17,2021-09-17,https://patents.google.com/patent/CN107526826B/zh,https://patentimages.storage.googleapis.com/c0/8e/ed/d0de50a6d633e1/HDA0001395450240000011.png
CN-102651026-B,通过预计算优化搜索引擎分词的方法及搜索引擎分词装置 ,百度在线网络技术（北京）有限公司,"阮星华, 张敏",2012-04-01,2012-04-01,2015-02-18,2015-02-18,https://patents.google.com/patent/CN102651026B/zh,
CN-103927354-A,交互式搜索及推荐方法和装置 ,百度在线网络技术（北京）有限公司,"黄际洲, 王海峰, 李莹, 赵明华",2014-04-11,2014-04-11,2014-07-16,,https://patents.google.com/patent/CN103927354A/zh,
CN-103914545-B,搜索展现方法及装置 ,百度在线网络技术（北京）有限公司,刘萍,2014-04-08,2014-04-08,2018-09-07,2018-09-07,https://patents.google.com/patent/CN103914545B/zh,
CN-104035958-B,搜索方法和搜索引擎 ,百度在线网络技术（北京）有限公司,"王海峰, 黄际洲, 李莹, 吴华",2014-04-14,2014-04-14,2018-01-19,2018-01-19,https://patents.google.com/patent/CN104035958B/zh,
CN-102436495-A,一种提供动态搜索页面的方法及其装置 ,百度在线网络技术（北京）有限公司,"柴春光, 金海燕, 张楠",2011-11-14,2011-11-14,2012-05-02,,https://patents.google.com/patent/CN102436495A/zh,https://patentimages.storage.googleapis.com/43/20/22/098aaf0e005fe9/HDA0000108322870000011.png
CN-102298615-A,一种计算机实现的用于展示搜索结果的方法与设备 ,百度在线网络技术（北京）有限公司,"吕炳潮, 宗骁",2011-07-29,2011-07-29,2011-12-28,,https://patents.google.com/patent/CN102298615A/zh,https://patentimages.storage.googleapis.com/38/79/00/60514afb90ef8c/HSA00000547632500011.png
CN-102929926-A,一种基于浏览内容的取词搜索方法及装置 ,百度在线网络技术（北京）有限公司,"刘超, 宾彬, 赵晶, 沈瑞祥",2012-09-20,2012-09-20,2013-02-13,,https://patents.google.com/patent/CN102929926A/zh,https://patentimages.storage.googleapis.com/58/c4/3c/a611a519a9ec04/HDA00002168679100011.png
CN-102012934-A,图片搜索方法及搜索系统 ,百度在线网络技术（北京）有限公司,文林福,2010-11-30,2010-11-30,2011-04-13,,https://patents.google.com/patent/CN102012934A/zh,https://patentimages.storage.googleapis.com/6f/09/7b/47da725518ed44/HSA00000374710300011.png
CN-103914554-A,搜索推荐方法和装置 ,百度在线网络技术（北京）有限公司,"王海峰, 黄际洲, 李莹, 吴华",2014-04-14,2014-04-14,2014-07-09,,https://patents.google.com/patent/CN103914554A/zh,
CN-103914553-A,搜索方法和搜索引擎 ,百度在线网络技术（北京）有限公司,"王海峰, 黄际洲, 李莹, 吴华",2014-04-14,2014-04-14,2014-07-09,,https://patents.google.com/patent/CN103914553A/zh,
CN-103902680-A,搜索推荐方法和装置 ,百度在线网络技术（北京）有限公司,"黄际洲, 王海峰, 赵明华, 唐诗慧",2014-03-21,2014-03-21,2014-07-02,,https://patents.google.com/patent/CN103902680A/zh,https://patentimages.storage.googleapis.com/95/77/66/8c117785193df5/HDA0000480542190000011.png
CN-102081776-A,搜索结果排序方法及系统 ,百度在线网络技术（北京）有限公司,"闫鹏, 蔡虎, 沈毅, 李磊",2010-12-30,2010-12-30,2011-06-01,,https://patents.google.com/patent/CN102081776A/zh,https://patentimages.storage.googleapis.com/de/52/b8/539382db27bf83/HDA0000042036280000012.png
CN-105260416-A,一种基于语音识别的搜索方法及装置 ,百度在线网络技术（北京）有限公司,陈巍,2015-09-25,2015-09-25,2016-01-20,,https://patents.google.com/patent/CN105260416A/zh,
CN-105404680-A,一种搜索推荐方法及装置 ,百度在线网络技术（北京）有限公司,"黄际洲, 周里成",2015-11-25,2015-11-25,2016-03-16,,https://patents.google.com/patent/CN105404680A/zh,
CN-104239458-A,搜索结果的展现方法和装置 ,百度在线网络技术（北京）有限公司,"郭金勇, 吴剑宇, 吴天放, 郑维智",2014-09-02,2014-09-02,2014-12-24,,https://patents.google.com/patent/CN104239458A/zh,
CN-105069168-A,搜索词推荐方法和装置 ,百度在线网络技术（北京）有限公司,"贾银芳, 朱延峰, 蒋松, 路华生, 韩聪, 黄飞, 熊伟, 王鲁光",2015-08-28,2015-08-28,2015-11-18,,https://patents.google.com/patent/CN105069168A/zh,
CN-106909658-A,信息流推荐方法、装置和搜索引擎 ,百度在线网络技术（北京）有限公司,"黄际洲, 王婵娟, 林馨怡, 李盈",2017-02-27,2017-02-27,2017-06-30,,https://patents.google.com/patent/CN106909658A/zh,
CN-104991943-A,音乐搜索方法及装置 ,百度在线网络技术（北京）有限公司,"张溢麟, 王梦宇, 许超, 张扬, 王璐",2015-07-10,2015-07-10,2015-10-21,,https://patents.google.com/patent/CN104991943A/zh,
CN-103246746-A,一种信息搜索方法、装置和系统 ,百度在线网络技术（北京）有限公司,孙立波,2013-05-23,2013-05-23,2013-08-14,,https://patents.google.com/patent/CN103246746A/zh,https://patentimages.storage.googleapis.com/16/d9/06/6a62ff6b2cff4d/HDA00003235640900011.png
CN-103279477-A,应用程序的搜索方法、装置和系统 ,百度在线网络技术（北京）有限公司,"杨鹏, 王浙航, 何韡",2013-04-16,2013-04-16,2013-09-04,,https://patents.google.com/patent/CN103279477A/zh,https://patentimages.storage.googleapis.com/3c/ad/18/76a0ca55421444/HDA00003060309000011.png
CN-103761326-A,图片搜索方法以及搜索引擎 ,百度在线网络技术（北京）有限公司,"黄际洲, �田�浩, 张伟伟",2014-01-29,2014-01-29,2014-04-30,,https://patents.google.com/patent/CN103761326A/zh,https://patentimages.storage.googleapis.com/e6/1a/a4/472a4f37b5ed5f/HDA0000463912230000011.png
CN-104636336-A,一种视频搜索的方法和装置 ,百度在线网络技术（北京）有限公司,"何迎迎, 姜玉苹, 赵武元",2013-11-06,2013-11-06,2015-05-20,,https://patents.google.com/patent/CN104636336A/zh,
CN-101661498-A,信息搜索方法和装置 ,百度在线网络技术（北京）有限公司,钟华,2009-09-16,2009-09-16,2010-03-03,,https://patents.google.com/patent/CN101661498A/zh,https://patentimages.storage.googleapis.com/3c/19/f1/3f0802edd4c25c/A2009100927940012H1.png
CN-105893564-A,一种基于搜索引擎客户端的搜索方法和装置 ,百度在线网络技术（北京）有限公司,"韩超, 刘俊启",2016-03-31,2016-03-31,2016-08-24,,https://patents.google.com/patent/CN105893564A/zh,
CN-103942268-A,搜索与应用相结合的方法、设备以及应用接口 ,百度在线网络技术（北京）有限公司,"孙云丰, 金海燕, 张玉睿, 徐波, 李明",2010-05-31,2010-05-31,2014-07-23,,https://patents.google.com/patent/CN103942268A/zh,
CN-103927380-A,搜索结果的提供方法和装置 ,百度在线网络技术（北京）有限公司,"陶涛, 牛正雨, 郭瑞, 张梦涵, 张岩",2014-04-28,2014-04-28,2014-07-16,,https://patents.google.com/patent/CN103927380A/zh,
CN-104090904-A,一种用于提供目标搜索结果的方法与设备 ,百度在线网络技术（北京）有限公司,张超,2014-05-16,2014-05-16,2014-10-08,,https://patents.google.com/patent/CN104090904A/zh,
CN-102339311-A,在用户设备上基于查询分类搜索网页内容的方法与设备 ,百度在线网络技术（北京）有限公司,"徐濛, 诸爽, 邓腾",2011-09-19,2011-09-19,2012-02-01,,https://patents.google.com/patent/CN102339311A/zh,https://patentimages.storage.googleapis.com/bf/09/84/d5a1d407586649/HSA00000576419700021.png
CN-101968799-A,一种基于搜索引擎的用户交互方法及系统 ,百度在线网络技术（北京）有限公司,"朱建庭, 望金蓉, 冯威风, 吴多益, 周俊",2010-09-21,2010-09-21,2011-02-09,,https://patents.google.com/patent/CN101968799A/zh,https://patentimages.storage.googleapis.com/dd/c4/bf/818c69cb8e6a46/HSA00000279425200011.png
CN-102622296-A,搜索引擎模块的测试方法、系统及其装置 ,百度在线网络技术（北京）有限公司,"李卓, 金敬亭, 肖羽思, 赖峥嵘",2012-02-21,2012-02-21,2012-08-01,,https://patents.google.com/patent/CN102622296A/zh,https://patentimages.storage.googleapis.com/79/30/cb/52f78cada72253/HDA0000137273660000011.png
CN-104239442-A,搜索结果的展现方法和装置 ,百度在线网络技术（北京）有限公司,"谷铁锋, 郭金勇",2014-09-01,2014-09-01,2014-12-24,,https://patents.google.com/patent/CN104239442A/zh,
CN-104281647-A,搜索输入方法和装置 ,百度在线网络技术（北京）有限公司,"谷铁峰, 马旭",2014-09-01,2014-09-01,2015-01-14,,https://patents.google.com/patent/CN104281647A/zh,
CN-103577415-A,用于更新移动搜索应用所对应的搜索配置的方法与设备 ,百度在线网络技术（北京）有限公司,侯少龙,2012-07-20,2012-07-20,2014-02-12,,https://patents.google.com/patent/CN103577415A/zh,https://patentimages.storage.googleapis.com/67/f4/d8/6e099f26dc8a64/HDA00001915435300021.png
CN-103631705-A,一种针对搜索引擎的回归测试方法和装置 ,百度在线网络技术（北京）有限公司,"丁文超, 张向辉",2012-08-24,2012-08-24,2014-03-12,,https://patents.google.com/patent/CN103631705A/zh,https://patentimages.storage.googleapis.com/44/32/1b/f3280649c4d91e/HDA00002055275400011.png
CN-108681541-A,图片搜索方法、装置及计算机设备 ,百度在线网络技术（北京）有限公司,苏春波,2018-01-17,2018-01-17,2018-10-19,,https://patents.google.com/patent/CN108681541A/zh,
CN-104298658-A,获取搜索结果的方法和装置 ,百度在线网络技术（北京）有限公司,"吴文权, 吴先超, 刘占一",2014-10-29,2014-10-29,2015-01-21,,https://patents.google.com/patent/CN104298658A/zh,
CN-103136342-A,应用程序app的搜索方法、系统以及搜索服务器 ,百度在线网络技术（北京）有限公司,詹君,2013-02-04,2013-02-04,2013-06-05,,https://patents.google.com/patent/CN103136342A/zh,https://patentimages.storage.googleapis.com/a4/29/a9/d3959835d7a3f2/HDA00002817823500011.png
CN-107657024-B,一种搜索结果展示方法、装置、设备以及存储介质 ,百度在线网络技术（北京）有限公司,"吴昌弘, 王玥",2017-09-27,2017-09-27,2021-03-23,2021-03-23,https://patents.google.com/patent/CN107657024B/zh,https://patentimages.storage.googleapis.com/d7/64/74/bb85a61e60a6c2/HDA0001421004850000011.png
CN-103177086-A,一种对应用搜索结果进行排序的方法及装置 ,百度在线网络技术（北京）有限公司,王福健,2013-03-08,2013-03-08,2013-06-26,,https://patents.google.com/patent/CN103177086A/zh,https://patentimages.storage.googleapis.com/90/ea/89/dbc2a94a52f6b2/HDA00002896981900011.png
CN-103268328-A,二维码的验证方法及搜索引擎服务器 ,百度在线网络技术（北京）有限公司,巫国忠,2013-05-02,2013-05-02,2013-08-28,,https://patents.google.com/patent/CN103268328A/zh,https://patentimages.storage.googleapis.com/61/c5/7a/9daac5e22bcc32/HDA00003136299300011.png
CN-103258023-A,搜索候选词的推荐方法及搜索引擎 ,百度在线网络技术（北京）有限公司,连茂泉,2013-05-07,2013-05-07,2013-08-21,,https://patents.google.com/patent/CN103258023A/zh,https://patentimages.storage.googleapis.com/d2/8e/bf/aedc5a06399bbf/HDA00003154908200011.png
CN-104598620-A,应用程序搜索方法和装置 ,百度在线网络技术（北京）有限公司,"韩超, 张钧国, 王丹阳",2015-01-30,2015-01-30,2015-05-06,,https://patents.google.com/patent/CN104598620A/zh,
CN-103577534-A,搜索方法和搜索引擎 ,百度在线网络技术（北京）有限公司,"陈春丽, 江琳, 许青",2013-08-30,2013-08-30,2014-02-12,,https://patents.google.com/patent/CN103577534A/zh,https://patentimages.storage.googleapis.com/a0/7e/6e/cec43d6f4d2a9e/HDA0000375367970000011.png
CN-106326386-A,搜索结果的展示方法和装置 ,百度在线网络技术（北京）有限公司,"刘娟娟, 秦首科, 刘晓春, 韩友, 柳胜兵, 彭建",2016-08-16,2016-08-16,2017-01-11,,https://patents.google.com/patent/CN106326386A/zh,
CN-104809195-A,搜索结果的推荐方法和装置 ,百度在线网络技术（北京）有限公司,"黄际洲, 万璐",2015-04-23,2015-04-23,2015-07-29,,https://patents.google.com/patent/CN104809195A/zh,
CN-104899276-A,移动搜索的推荐方法和装置 ,百度在线网络技术（北京）有限公司,"黄际洲, 李莹, 季永志, 景鲲, 万璐",2015-05-29,2015-05-29,2015-09-09,,https://patents.google.com/patent/CN104899276A/zh,
CN-105069013-A,在搜索界面中提供输入接口的控制方法和装置 ,百度在线网络技术（北京）有限公司,"关岱松, 于海泽",2015-07-10,2015-07-10,2015-11-18,,https://patents.google.com/patent/CN105069013A/zh,
WO-2016078480-A1,一种用于提供时效性图片搜索结果的方法与设备 ,百度在线网络技术（北京）有限公司,"罗海平, 曾文军",2014-11-21,2015-09-30,2016-05-26,,https://patents.google.com/patent/WO2016078480A1/zh,https://patentimages.storage.googleapis.com/af/11/6e/7620bc0d82c45e/PCTCN2015091222-appb-300001.png
CN-105138614-A,在搜索结果页面进行信息展现的方法和装置 ,百度在线网络技术（北京）有限公司,"朱延峰, 蒋松, 路华生, 韩聪, 张鹏, 黄飞, 熊伟",2015-08-07,2015-08-07,2015-12-09,,https://patents.google.com/patent/CN105138614A/zh,
CN-103914533-A,推广搜索结果的展现方法和装置 ,百度在线网络技术（北京）有限公司,"陈志杰, 江琳, 韩帅, 刘晓春, 何仁清, 李小松, 郭伟, 罗斌",2014-03-31,2014-03-31,2014-07-09,,https://patents.google.com/patent/CN103914533A/zh,
CN-103995848-A,图片搜索方法及装置 ,百度在线网络技术（北京）有限公司,"肖伟, 杜熙, 李颖超",2014-05-06,2014-05-06,2014-08-20,,https://patents.google.com/patent/CN103995848A/zh,
CN-104281705-A,搜索方法及搜索装置 ,百度在线网络技术（北京）有限公司,"吴海锋, 金治, 胡曲, 景鲲, 韩彦, 吴忧, 朱雷, 侯永胜, 李涛, 杜可, 李孟琦",2014-10-23,2014-10-23,2015-01-14,,https://patents.google.com/patent/CN104281705A/zh,
CN-103226573-A,搜索结果关联显示的方法及客户端 ,百度在线网络技术（北京）有限公司,"袁月, 许晨光",2013-03-28,2013-03-28,2013-07-31,,https://patents.google.com/patent/CN103226573A/zh,https://patentimages.storage.googleapis.com/31/0f/48/93a66851f0707c/HDA00002980763000011.png
CN-104077324-A,一种地图搜索方法及系统 ,百度在线网络技术（北京）有限公司,史子博,2013-03-29,2013-03-29,2014-10-01,,https://patents.google.com/patent/CN104077324A/zh,
CN-103279486-A,一种提供相关搜索的方法和装置 ,百度在线网络技术（北京）有限公司,黄际洲,2013-04-24,2013-04-24,2013-09-04,,https://patents.google.com/patent/CN103279486A/zh,https://patentimages.storage.googleapis.com/b9/54/76/f3d70f2f2d4a78/DEST_PATH_HDA00003442439500011.png
CN-103258025-A,生成共现关键词的方法、提供关联搜索词的方法以及系统 ,百度在线网络技术（北京）有限公司,阮星华,2013-05-08,2013-05-08,2013-08-21,,https://patents.google.com/patent/CN103258025A/zh,https://patentimages.storage.googleapis.com/d7/44/fd/9c228340bb24de/HDA00003157569300011.png
CN-104462323-A,语义相似度计算方法、搜索结果处理方法和装置 ,百度在线网络技术（北京）有限公司,"张军, 吴先超, 刘占一",2014-12-02,2014-12-02,2015-03-25,,https://patents.google.com/patent/CN104462323A/zh,
CN-103927310-A,一种地图数据搜索建议生成方法及装置 ,百度在线网络技术（北京）有限公司,徐旭,2013-01-14,2013-01-14,2014-07-16,,https://patents.google.com/patent/CN103927310A/zh,
CN-105550216-A,学术研究信息的搜索方法、挖掘方法及装置 ,百度在线网络技术（北京）有限公司,"张博, 马田, 张显, 苑雪冉, 张宇川, 卢奇, 张晓婧, 曹冰, 杰艺",2015-12-03,2015-12-03,2016-05-04,,https://patents.google.com/patent/CN105550216A/zh,
CN-105389361-A,搜索推荐方法及装置 ,百度在线网络技术（北京）有限公司,"黄际洲, 万璐",2015-11-05,2015-11-05,2016-03-09,,https://patents.google.com/patent/CN105389361A/zh,
CN-103646089-B,自动搜索方法及装置 ,百度在线网络技术（北京）有限公司,"陈麒屾, 田园, 张研婷, 李叶, 王晨, 许亚宾",2013-12-13,2013-12-13,2017-07-25,2017-07-25,https://patents.google.com/patent/CN103646089B/zh,
CN-101984429-A,获取目标页面的方法、装置、搜索引擎和浏览器 ,百度在线网络技术（北京）有限公司,潘云泓,2010-11-04,2010-11-04,2011-03-09,,https://patents.google.com/patent/CN101984429A/zh,https://patentimages.storage.googleapis.com/d2/bc/cb/e4ea05b84555d9/HSA00000331802400011.png
CN-104484408-A,植物信息的搜索处理方法和系统 ,百度在线网络技术（北京）有限公司,"刘晓伟, 王道龙, 李华明, 袁艺, 刘孟, 燕宇飞, 易敏文, 吕文玉, 张钰, 方驰, 袁正沧",2014-12-16,2014-12-16,2015-04-01,,https://patents.google.com/patent/CN104484408A/zh,
CN-102063453-A,一种用于基于用户的需求进行搜索的方法和设备 ,百度在线网络技术（北京）有限公司,"孙云丰, 金海燕, 张玉睿, 徐波, 李明",2010-05-31,2010-05-31,2011-05-18,,https://patents.google.com/patent/CN102063453A/zh,https://patentimages.storage.googleapis.com/e6/36/64/1834099dc5b726/HSA00000134314100011.png
CN-106777282-B,相关搜索的排序方法和装置 ,百度在线网络技术（北京）有限公司,"王威, 桂佳, 程军, 王奎澎",2016-12-29,2016-12-29,2018-07-13,2018-07-13,https://patents.google.com/patent/CN106777282B/zh,
CN-104899281-B,学术文章处理方法和学术文章的搜索处理方法及装置 ,百度在线网络技术（北京）有限公司,"高鸣, 高一鸣, 李�浩, 张晓婧",2015-06-01,2015-06-01,2018-07-27,2018-07-27,https://patents.google.com/patent/CN104899281B/zh,
CN-103455550-B,一种获取具有对比效果的图片搜索结果的方法及装置 ,百度在线网络技术（北京）有限公司,黄际洲,2013-07-26,2013-07-26,2017-06-06,2017-06-06,https://patents.google.com/patent/CN103455550B/zh,
CN-103399862-B,确定目标查询序列所对应的搜索引导信息的方法与设备 ,百度在线网络技术（北京）有限公司,"喻宏勇, 徐兴军, 潘昕婷, 刘文昱, 殷瑞娜, 伏晓丽",2013-07-04,2013-07-04,2016-12-28,2016-12-28,https://patents.google.com/patent/CN103399862B/zh,
CN-111159592-B,搜索结果页生成方法、装置、电子设备及存储介质 ,百度在线网络技术（北京）有限公司,刘俊启,2019-12-16,2019-12-16,2021-12-24,2021-12-24,https://patents.google.com/patent/CN111159592B/zh,https://patentimages.storage.googleapis.com/64/7a/1e/a70670ae6b62dd/HDA0002320132030000011.png
CN-103207906-B,搜索结果的提供方法和搜索引擎 ,百度在线网络技术（北京）有限公司,"张楠, 许晨光, 袁月",2013-03-28,2013-03-28,2016-12-28,2016-12-28,https://patents.google.com/patent/CN103207906B/zh,
CN-110472163-B,地图搜索结果的展现确定方法、装置、电子设备和介质 ,百度在线网络技术（北京）有限公司,李扬,2019-08-22,2019-08-22,2022-09-23,2022-09-23,https://patents.google.com/patent/CN110472163B/zh,https://patentimages.storage.googleapis.com/c3/4d/39/3bc8d8754e82fc/HDA0002176470280000011.png
CN-102663088-A,一种用于提供搜索结果的方法与设备 ,百度在线网络技术（北京）有限公司,"张松涛, 吕炳潮, 俞海",2012-03-31,2012-03-31,2012-09-12,,https://patents.google.com/patent/CN102663088A/zh,https://patentimages.storage.googleapis.com/ad/d2/33/30f9c961ef26e5/HDA0000149543020000011.png
CN-104111990-A,搜索结果卡片的展现方法和装置 ,百度在线网络技术（北京）有限公司,"谭玉佩, 吴飞, 王姣, 周健鑫",2014-07-02,2014-07-02,2014-10-22,,https://patents.google.com/patent/CN104111990A/zh,
CN-110909877-A,神经网络模型结构搜索方法、装置、电子设备及存储介质 ,百度在线网络技术（北京）有限公司,"王洋, 刘焱, 郝新, 吴月升, 熊俊峰, 唐佳伟",2019-11-29,2019-11-29,2020-03-24,,https://patents.google.com/patent/CN110909877A/zh,https://patentimages.storage.googleapis.com/aa/6c/80/ecf7cf19f96642/HDA0002296307930000011.png
CN-104462496-B,搜索方法、装置和移动终端 ,百度在线网络技术（北京）有限公司,"李宣, 唐娴, 谭玉佩, 李昱东, 时永欣",2014-12-19,2014-12-19,2018-06-05,2018-06-05,https://patents.google.com/patent/CN104462496B/zh,
CN-104572853-B,搜索方法和搜索装置 ,百度在线网络技术（北京）有限公司,赵雷,2014-12-17,2014-12-17,2019-01-25,2019-01-25,https://patents.google.com/patent/CN104572853B/zh,
CN-105677927-B,用于提供搜索结果的方法和装置 ,百度在线网络技术（北京）有限公司,"秦首科, 陈志扬, 韩聪, 韩友",2016-03-31,2016-03-31,2019-04-12,2019-04-12,https://patents.google.com/patent/CN105677927B/zh,
CN-104239450-A,搜索推荐方法和装置 ,百度在线网络技术（北京）有限公司,刘俊启,2014-09-01,2014-09-01,2014-12-24,,https://patents.google.com/patent/CN104239450A/zh,
CN-102073684-B,搜索日志的挖掘方法、时效性需求识别的方法及对应装置 ,百度在线网络技术（北京）有限公司,辜斯缪,2010-12-22,2010-12-22,2014-08-13,2014-08-13,https://patents.google.com/patent/CN102073684B/zh,
CN-109918555-B,用于提供搜索建议的方法、装置、设备和介质 ,百度在线网络技术（北京）有限公司,刘俊启,2019-02-20,2019-02-20,2021-10-15,2021-10-15,https://patents.google.com/patent/CN109918555B/zh,https://patentimages.storage.googleapis.com/e4/d0/e3/e804f2e5c7841b/HDA0001974009790000011.png
CN-106202260-B,搜索方法、装置和搜索引擎 ,百度在线网络技术（北京）有限公司,"蒋祥涛, 王惠美, 杨博菲, 李萌, 严晓炜, 刘泉有, 郑宽, 朱军, 苏文嗣, 张楠",2016-06-29,2016-06-29,2021-07-27,2021-07-27,https://patents.google.com/patent/CN106202260B/zh,https://patentimages.storage.googleapis.com/96/52/38/534abdd6df0a4d/HDA0001035481590000011.png
CN-104503991-B,一种信息搜索方法和装置 ,百度在线网络技术（北京）有限公司,"李兴建, 严萌, 周建城, 韩玉洁, 李先斌",2014-12-03,2014-12-03,2018-04-27,2018-04-27,https://patents.google.com/patent/CN104503991B/zh,
CN-104484088-B,搜索结果的展现方法及装置 ,百度在线网络技术（北京）有限公司,"时永欣, 廖毅, 雷祎舲, 刘金倾, 王姣",2014-12-02,2014-12-02,2017-10-27,2017-10-27,https://patents.google.com/patent/CN104484088B/zh,
CN-104462327-B,语句相似度的计算、搜索处理方法及装置 ,百度在线网络技术（北京）有限公司,吴先超,2014-12-02,2014-12-02,2018-09-11,2018-09-11,https://patents.google.com/patent/CN104462327B/zh,
CN-104376114-B,一种搜索结果展示方法及装置 ,百度在线网络技术（北京）有限公司,"雷小强, 鲁晓莹",2014-12-01,2014-12-01,2018-01-30,2018-01-30,https://patents.google.com/patent/CN104376114B/zh,
CN-106599110-A,基于人工智能的语音搜索方法及装置 ,百度在线网络技术（北京）有限公司,"李超, 李先刚, 孙珏",2016-11-29,2016-11-29,2017-04-26,,https://patents.google.com/patent/CN106599110A/zh,
CN-102682095-B,用于配对图片搜索的方法和提供配对图片的搜索系统 ,百度在线网络技术（北京）有限公司,李靖,2012-04-27,2012-04-27,2015-06-10,2015-06-10,https://patents.google.com/patent/CN102682095B/zh,
CN-103365893-B,一种用于实现搜索用户的个体信息的方法和设备 ,百度在线网络技术（北京）有限公司,李刚,2012-03-31,2012-03-31,2019-10-11,2019-10-11,https://patents.google.com/patent/CN103365893B/zh,
CN-104239570-B,论文的搜索方法及装置 ,百度在线网络技术（北京）有限公司,"马晋, 薛洪贺, 汪洋, 张博, 张扬, 苑雪冉, 曹冰, 张晓婧",2014-09-30,2014-09-30,2018-04-13,2018-04-13,https://patents.google.com/patent/CN104239570B/zh,
CN-105354288-A,一种基于视频内容的图像搜索方法和装置 ,百度在线网络技术（北京）有限公司,"赵德玺, 尚会波",2015-10-30,2015-10-30,2016-02-24,,https://patents.google.com/patent/CN105354288A/zh,
CN-105956011-B,搜索方法及装置 ,百度在线网络技术（北京）有限公司,"李鹏, 李伟, 何正焱, 王旭光, 曹莹, 周杰, 徐伟",2016-04-21,2016-04-21,2020-01-21,2020-01-21,https://patents.google.com/patent/CN105956011B/zh,https://patentimages.storage.googleapis.com/94/71/9a/3401ca1d88d7a4/HDA0000971043810000011.png
WO-2016062099-A1,搜索方法及搜索装置 ,百度在线网络技术（北京）有限公司,"景鲲, 王海峰, 黄荣升, 黄际洲, 朱凯华, 沈抖, 孙云丰, 胡曲",2014-10-23,2015-06-10,2016-04-28,,https://patents.google.com/patent/WO2016062099A1/zh,https://patentimages.storage.googleapis.com/8f/36/92/ef1fbb6c5480c2/PCTCN2015081189-appb-300001.png
CN-106294661-B,一种扩展搜索方法与装置 ,百度在线网络技术（北京）有限公司,"顾晓光, 方高林",2016-08-04,2016-08-04,2019-09-20,2019-09-20,https://patents.google.com/patent/CN106294661B/zh,
CN-103942257-B,一种视频搜索的方法与装置 ,百度在线网络技术（北京）有限公司,"陈佳佳, 魏宾",2014-03-19,2014-03-19,2017-05-24,2017-05-24,https://patents.google.com/patent/CN103942257B/zh,
CN-102054033-A,表情搜索引擎、使用该表情搜索引擎的表情管理系统及表情管理方法 ,百度在线网络技术（北京）有限公司,王清翔,2010-12-25,2010-12-25,2011-05-11,,https://patents.google.com/patent/CN102054033A/zh,https://patentimages.storage.googleapis.com/5a/34/91/ffca3e9b0ce0bd/HDA0000040644990000011.png
CN-104598556-A,搜索方法及装置 ,百度在线网络技术（北京）有限公司,"郑长帅, 张渊, 刘晓晨",2015-01-04,2015-01-04,2015-05-06,,https://patents.google.com/patent/CN104598556A/zh,
CN-109033244-B,搜索结果排序方法和装置 ,百度在线网络技术（北京）有限公司,"施振辉, 陈俊, 周景博, 范斌, 罗程亮",2018-07-05,2018-07-05,2020-10-16,2020-10-16,https://patents.google.com/patent/CN109033244B/zh,https://patentimages.storage.googleapis.com/82/c9/f7/62dd0097e9ffa5/HDA0001720439950000011.png
CN-104484380-A,个性化搜索方法及装置 ,百度在线网络技术（北京）有限公司,"张军, 吴先超",2014-12-09,2014-12-09,2015-04-01,,https://patents.google.com/patent/CN104484380A/zh,
CN-104598515-A,歌曲搜索方法、装置和系统 ,百度在线网络技术（北京）有限公司,"田振雷, 鲁晓莹",2014-12-03,2014-12-03,2015-05-06,,https://patents.google.com/patent/CN104598515A/zh,
WO-2016015431-A1,搜索方法、装置、设备及非易失性计算机存储介质 ,百度在线网络技术（北京）有限公司,"刘俊启, 黎科峰",2014-07-28,2014-12-12,2016-02-04,,https://patents.google.com/patent/WO2016015431A1/zh,https://patentimages.storage.googleapis.com/24/5e/22/e19af510b69c1c/PCTCN2014093748-appb-300001.png
WO-2015139487-A1,搜索推荐方法和装置 ,百度在线网络技术（北京）有限公司,"黄际洲, 夏德国, 赵明华",2014-03-21,2014-12-10,2015-09-24,,https://patents.google.com/patent/WO2015139487A1/zh,https://patentimages.storage.googleapis.com/dc/71/e3/14e1c277a311c2/PCTCN2014093517-appb-300001.png
CN-101930457-A,一种供用户进行快速选择对象及搜索的方法、设备和系统 ,百度在线网络技术（北京）有限公司,程刚,2010-08-13,2010-08-13,2010-12-29,,https://patents.google.com/patent/CN101930457A/zh,https://patentimages.storage.googleapis.com/52/17/f0/bde3cef131fd38/HSA00000230347100011.png
